division,district,upazila,post_office,postal_code,source_url
Barisal,Patuakhali,Dashmina,Dasmina UPO,8630,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Dumki,,,
Barisal,Patuakhali,Galachipa,Gazipur Bandar EDSO,8641,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Galachipa,Golachipa UPO,8640,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Kalapara,Khepupara UPO,8650,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Kalapara,Mahipur EDSO,8651,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Mirzaganj,Khataltali Bazar SO,8611,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Mirzaganj,Subidhakhali (Mirzagonj) UPO,8610,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Patuakhali Sadar,Domki SO,8602,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Patuakhali Sadar,Moukaran SO,8601,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Patuakhali Sadar,Patuakhali HO,8600,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Patuakhali Sadar,Rahimabad EDSO,8603,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Rangabali,,,
Barisal,Pirojpur,Bhandaria,Bhanderia UPO,8550,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Bhandaria,Daoya EDSO,8552,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Bhandaria,Kanudaskatia EDSO,8551,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Indurkani,,,
Barisal,Pirojpur,Kawkhali,Joykul EDSO,8512,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Kawkhali,Julagati EDSO,8513,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Kawkhali,Kaukhali UPO,8510,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Kawkhali,Keondia EDSO,8511,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Mathbaria,Betmore Nutan Hat EDSO,8565,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Mathbaria,Gulisakhali Mia SO,8563,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Mathbaria,Halta EDSO,8562,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Mathbaria,Mathbaria UPO,8560,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Mathbaria,Silargonj EDSO,8566,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Mathbaria,Tiarkahali SO,8564,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Mathbaria,Tushkali SO,8561,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Nazirpur,Nazirpur UPO,8540,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Nazirpur,Seriamkati SO,8541,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Nesarabad,Darus Sunnat SO,8521,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Nesarabad,Jalabari SO,8523,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Nesarabad,Kaurikhara SO,8522,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
