division,district,upazila,post_office,postal_code
Chattogram,Chattogram,Patiya,Kalarpul EDBO,
Chattogram,Chattogram,Patiya,Kashiaish EDBO,
Chattogram,Chattogram,Patiya,Koronkhai EDBO,
Chattogram,Chattogram,Patiya,Maliara EDBO,
Chattogram,Chattogram,Patiya,Monsha EDBO,
Chattogram,Chattogram,Patiya,Pairole SO,4372
Chattogram,Chattogram,Patiya,Patiya HO,4370
Chattogram,Chattogram,Patiya,Perpera EDBO,
Chattogram,Chattogram,Patiya,Shikolbaha EDBO,
Chattogram,Chattogram,Patiya,Ziri EDBO,
Chattogram,Chattogram,Rangunia,Betagi EDBO,
Chattogram,Chattogram,Rangunia,Dhamairhat EDSO,4361
Chattogram,Chattogram,Rangunia,Rangunia (Dhamair) UPO,4360
Chattogram,Chattogram,Raozan,Adhar Manik EDBO,
Chattogram,Chattogram,Raozan,AnnapurnaBari EDBO,
Chattogram,Chattogram,Raozan,Binajuri SO,4341
Chattogram,Chattogram,Raozan,BITSO Chattogram,4349
Chattogram,Chattogram,Raozan,Boro Hafez Saheb Bari EDBO,
Chattogram,Chattogram,Raozan,Chittopara EDBO,
Chattogram,Chattogram,Raozan,Dargabari Etimkhana EDBO,
Chattogram,Chattogram,Raozan,Dewanpur SO,4347
Chattogram,Chattogram,Raozan,Fakirtila EDBO,
Chattogram,Chattogram,Raozan,Fatehpur SO,4345
Chattogram,Chattogram,Raozan,Fokir Takiya EDBO,
Chattogram,Chattogram,Raozan,Ghahira SO,4343
Chattogram,Chattogram,Raozan,Gujra EDBO,
Chattogram,Chattogram,Raozan,Gujra SO,4346
Chattogram,Chattogram,Raozan,Hingola EDBO,
Chattogram,Chattogram,Raozan,Jagannath SO,4344
Chattogram,Chattogram,Raozan,Janali Hat EDBO,
Chattogram,Chattogram,Raozan,Kodolpur EDBO,
Chattogram,Chattogram,Raozan,Koyepara EDBO,
Chattogram,Chattogram,Raozan,Kundeswary Bhavan SO,4342
Chattogram,Chattogram,Raozan,Lelang Gara EDBO,
Chattogram,Chattogram,Raozan,Mahamoni SO,4348
Chattogram,Chattogram,Raozan,Moddhom Kodolpur EDBO,
Chattogram,Chattogram,Raozan,Mohammadpur EDBO,
Chattogram,Chattogram,Raozan,Nadimpur EDBO,
Chattogram,Chattogram,Raozan,Natowan EDBO,
Chattogram,Chattogram,Raozan,North Gujra EDBO,
Chattogram,Chattogram,Raozan,Notun Bazar EDBO,
Chattogram,Chattogram,Raozan,Notun Hat EDBO,
Chattogram,Chattogram,Raozan,Purbo Gujra EDBO,
Chattogram,Chattogram,Raozan,Ramjan Ali Hat EDBO,
Chattogram,Chattogram,Raozan,Raozan UPO,4340
Chattogram,Chattogram,Raozan,Roghunandan Hat EDBO,
Chattogram,Chattogram,Raozan,Shattar Ghat EDBO,
Chattogram,Chattogram,Raozan,Sultanpur EDBO,
Chattogram,Chattogram,Raozan,Thakur Bari EDBO,
Chattogram,Chattogram,Raozan,Unosottor Para EDBO,
Chattogram,Chattogram,Raozan,Urkirchar EDBO,
Chattogram,Chattogram,Raozan,Uttor Satta EDBO,
Chattogram,Chattogram,Sadarghat,,
Chattogram,Chattogram,Sandwip,Akbar Hat EDBO,
Chattogram,Chattogram,Sandwip,Ali Mia Bazar EDBO,
Chattogram,Chattogram,Sandwip,Azizia EDBO,
Chattogram,Chattogram,Sandwip,Banir Hat EDBO,
Chattogram,Chattogram,Sandwip,Bauriya EDBO,
Chattogram,Chattogram,Sandwip,Bhuiyar Hat EDBO,
Chattogram,Chattogram,Sandwip,Boktar Hat EDBO,
Chattogram,Chattogram,Sandwip,Doja Nagar EDBO,
Chattogram,Chattogram,Sandwip,Gachua EDBO,
Chattogram,Chattogram,Sandwip,Kalapaniya EDBO,
Chattogram,Chattogram,Sandwip,Mait Vanga EDBO,
Chattogram,Chattogram,Sandwip,Mogdhara EDBO,
Chattogram,Chattogram,Sandwip,Mowlovir Bazar EDBO,
Chattogram,Chattogram,Sandwip,Muchapur EDBO,
Chattogram,Chattogram,Sandwip,North Mogdhara EDBO,
Chattogram,Chattogram,Sandwip,Osmania EDBO,
Chattogram,Chattogram,Sandwip,Palashyer Bazar EDBO,
Chattogram,Chattogram,Sandwip,Rahmatpur EDBO,
Chattogram,Chattogram,Sandwip,Sandwip UPO,4300
Chattogram,Chattogram,Sandwip,Santoshpur EDBO,
Chattogram,Chattogram,Sandwip,Sarikait EDBO,
Chattogram,Chattogram,Sandwip,Shiberhat EDSO,4301
Chattogram,Chattogram,Sandwip,Sholosohar EDBO,
Chattogram,Chattogram,Sandwip,Somitir Bazar EDBO,
Chattogram,Chattogram,Sandwip,Tukur Munshir Bazar EDBO,
Chattogram,Chattogram,Sandwip,Urirchar SO,4302
Chattogram,Chattogram,Satkania,Baitul Ijjat SO,4387
Chattogram,Chattogram,Satkania,Bajalia EDSO,4388
Chattogram,Chattogram,Satkania,Dakkhinpara EDBO,
Chattogram,Chattogram,Satkania,Durduri EDBO,
Chattogram,Chattogram,Satkania,Khagriya EDBO,
Chattogram,Chattogram,Satkania,Morfola Bazar EDBO,
Chattogram,Chattogram,Satkania,Mowlovir Dokan EDBO,
Chattogram,Chattogram,Satkania,Satkania UPO,4386
Chattogram,Chattogram,Satkania,Shyam Muhori Hat EDBO,
Chattogram,Chattogram,Sitakunda,Baliadi EDBO,
Chattogram,Chattogram,Sitakunda,Barabkunda SO,4312
Chattogram,Chattogram,Sitakunda,Baraiadala So,4311
Chattogram,Chattogram,Sitakunda,Bashbaria SO,4313
Chattogram,Chattogram,Sitakunda,Bhatiari SO,4315
Chattogram,Chattogram,Sitakunda,Boro Daroga Hat EDBO,
Chattogram,Chattogram,Sitakunda,Choto Daroga Hat EDBO,
Chattogram,Chattogram,Sitakunda,Dakkhin Shitolpur Raja Kashem EDBO,
Chattogram,Chattogram,Sitakunda,Domkhali Somiti Hat EDBO,
Chattogram,Chattogram,Sitakunda,Fouzderhat Cadet College SO,4316
Chattogram,Chattogram,Sitakunda,Hafiz Jute Mills EDBO,
Chattogram,Chattogram,Sitakunda,IIUC SO,4318
Chattogram,Chattogram,Sitakunda,Jafar Nagar EDBO,
Chattogram,Chattogram,Sitakunda,Kamar Ali EDBO,
Chattogram,Chattogram,Sitakunda,Kumira SO,4314
Chattogram,Chattogram,Sitakunda,Mohanagar EDBO,
Chattogram,Chattogram,Sitakunda,Muradpur EDBO,
Chattogram,Chattogram,Sitakunda,Shekher Hat EDBO,
Chattogram,Chattogram,Sitakunda,Shitolpur EDBO,
Chattogram,Chattogram,Sitakunda,Sitakundu UPO,4310
Chattogram,Chattogram,Sitakunda,Zafrabad SO,4317
Chattogram,Chattogram,Vujpur,,
Chattogram,Comilla,Bangara Bazar,,
Chattogram,Comilla,Barura,Barura UPO,3560
Chattogram,Comilla,Barura,Mudafargonj SO,3562
Chattogram,Comilla,Barura,Payalgacha SO,3561
Chattogram,Comilla,Brahmanpara,Brahmanpara UPO,3526
Chattogram,Comilla,Burichang,Burichang UPO,3520
Chattogram,Comilla,Burichang,Mainamoti Bazar SO,3521
Chattogram,Comilla,Chandina,Chandina UPO,3510
Chattogram,Comilla,Chandina,Madhaiya Bazar EDSO,3511
Chattogram,Comilla,Chandina,Meghna SO,3512
Chattogram,Comilla,Chauddagram,Batisa EDSO,3551
Chattogram,Comilla,Chauddagram,Chaudha Gram UPO,3550
Chattogram,Comilla,Chauddagram,Cheora SO,3552
Chattogram,Comilla,Comilla Sadar,Courtbari SO,3503
Chattogram,Comilla,Comilla Sadar,Cumilla Cantt. SO,3501
Chattogram,Comilla,Comilla Sadar,Cumilla HO,3500
Chattogram,Comilla,Comilla Sadar,Halimnagar SO,3502
Chattogram,Comilla,Comilla Sadar,Shibpur SO,3505
Chattogram,Comilla,Comilla Sadar,Suagonj EDSO,3504
Chattogram,Comilla,Daudkandi,Daspara EDSO,3518
Chattogram,Comilla,Daudkandi,Daudkandi UPO,3516
Chattogram,Comilla,Daudkandi,Eliotgonj SO,3519
Chattogram,Comilla,Daudkandi,Gouripur SO,3517
Chattogram,Comilla,Debidwar,Barasalghar EDSO,3532
Chattogram,Comilla,Debidwar,Damti Madrasa SO,3533
Chattogram,Comilla,Debidwar,Debidwar UPO,3530
